Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
59,Kyle Anderson\anderky01,SF,26,MEM,67,1330,12.5,.534,.257,.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,,0.9,1.7,2.5,.091,,-1.5,2.0,0.5,0.9
60,Pat Connaughton\connapa01,SG,27,MIL,67,1243,11.5,.565,.551,.133,5.1,16.8,11.3,10.9,0.9,2.2,14.0,12.3,,1.1,2.3,3.4,.130,,-0.9,1.5,0.6,0.8
61,Rudy Gay\gayru01,PF,33,SAS,67,1461,15.4,.553,.369,.228,4.5,22.2,13.4,11.3,1.1,2.0,11.8,22.0,,0.9,1.1,2.1,.068,,0.0,-0.9,-0.8,0.4
62,Al Horford\horfoal01,C,33,PHI,67,2025,15.7,.536,.399,.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,,2.8,2.6,5.4,.128,,1.3,1.0,2.2,2.2
63,LeBron James\jamesle01,PG,35,LAL,67,2316,25.5,.577,.326,.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,,6.2,3.6,9.8,.204,,6.6,1.8,8.4,6.1
64,Wesley Matthews\matthwe02,SG,33,MIL,67,1635,8.1,.547,.704,.161,1.4,8.2,5.0,7.1,1.1,0.5,8.7,12.5,,0.8,2.4,3.2,.093,,-2.6,0.7,-1.8,0.1
65,Ja Morant\moranja01,PG,20,MEM,67,2074,17.4,.556,.191,.329,2.6,10.4,6.6,35.2,1.3,0.8,17.0,25.9,,2.3,1.5,3.8,.088,,1.5,-1.2,0.3,1.2
66,Kendrick Nunn\nunnke01,PG,24,MIA,67,1962,12.9,.534,.428,.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,,0.4,1.6,2.0,.049,,-1.0,-1.3,-2.3,-0.1
67,Kelly Olynyk\olynyke01,C,28,MIA,67,1300,14.6,.621,.588,.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,,1.9,1.8,3.7,.135,,0.0,1.0,1.0,1.0
68,T.J. Warren\warretj01,SF,26,IND,67,2202,18.4,.610,.227,.205,3.4,10.5,7.0,7.1,1.7,1.4,7.2,23.3,,4.0,2.6,6.5,.143,,1.2,0.0,1.1,1.7
